region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
China,80967,39,3248,3,71150,6569,2136,56.0,4.01
Italy,47021,5986,4032,627,5129,37860,2655,778.0,8.57
Spain,20412,2335,1044,213,1588,17780,939,437.0,5.11
Germany,19848,4528,59,15,180,19609,2,237.0,0.3
Iran,19644,1237,1433,149,6745,11466,0,234.0,7.29
USA,16638,2849,225,18,125,16288,64,50.0,1.35
France,12612,1617,450,78,1295,10867,1122,193.0,3.57
S_Korea,8652,87,94,3,2233,6325,59,169.0,1.09
Switzerland,5369,1147,56,13,15,5298,0,620.0,1.04
UK,3983,714,177,33,65,3741,20,59.0,4.44
Netherlands,2994,534,106,30,2,2886,210,175.0,3.54
Austria,2491,312,6,0,9,2476,14,277.0,0.24
Belgium,2257,462,37,16,204,2016,164,195.0,1.64
Norway,1922,132,7,0,1,1914,27,355.0,0.36
Sweden,1639,200,16,5,16,1607,21,162.0,0.98
Denmark,1255,104,9,3,1,1245,37,217.0,0.72
Malaysia,1030,130,3,1,87,940,26,32.0,0.29
Portugal,1020,234,6,2,5,1009,26,100.0,0.59
Japan,963,20,33,0,215,715,50,8.0,3.43
Canada,924,51,12,0,11,901,1,24.0,1.3
Australia,876,120,7,0,46,823,2,34.0,0.8
Czechia,833,139,0,0,4,829,6,78.0,0.0
Diamond_Princess,712,0,7,0,527,178,14,0.0,0.98
Israel,705,28,0,0,15,690,10,81.0,0.0
Ireland,683,126,3,0,5,675,6,138.0,0.44
Brazil,654,14,7,0,2,645,18,3.0,1.07
Pakistan,500,46,3,1,13,484,0,2.0,0.6
Greece,495,31,9,3,19,467,20,47.0,1.82
Luxembourg,484,149,5,1,6,473,1,773.0,1.03
Qatar,470,10,0,0,10,460,6,163.0,0.0
Finland,450,50,0,0,10,440,2,81.0,0.0
Chile,434,92,0,0,6,428,7,23.0,0.0
Poland,411,56,5,0,13,393,3,11.0,1.22
Iceland,409,79,0,0,5,404,1,1199.0,0.0
Singapore,385,40,0,0,131,254,14,66.0,0.0
Indonesia,369,60,32,7,17,320,0,1.0,8.67
Ecuador,367,107,5,2,3,359,2,21.0,1.36
Turkey,359,0,4,0,0,355,0,4.0,1.11
Saudi_Arabia,344,70,0,0,8,336,0,10.0,0.0
Slovenia,341,22,1,0,0,340,6,164.0,0.29
Thailand,322,50,1,0,42,279,1,5.0,0.31
Romania,308,31,0,0,31,277,11,16.0,0.0
Bahrain,291,12,1,0,112,178,4,171.0,0.34
Estonia,283,16,0,0,1,282,1,213.0,0.0
Egypt,256,0,7,0,42,207,0,3.0,2.73
Hong_Kong,256,48,4,0,98,154,4,34.0,1.56
Russia,253,54,1,0,12,240,0,2.0,0.4
India,249,55,5,1,23,221,0,0.2,2.01
Peru,234,0,4,3,1,229,7,7.0,1.71
Philippines,230,13,18,1,8,204,1,2.0,7.83
South_Africa,202,52,0,0,0,202,0,3.0,0.0
Iraq,192,0,13,0,49,130,0,5.0,6.77
Lebanon,177,20,4,0,4,169,3,26.0,2.26
Mexico,164,46,1,0,4,159,1,1.0,0.61
Kuwait,159,11,0,0,22,137,5,37.0,0.0
Colombia,145,37,0,0,1,144,0,3.0,0.0
San_Marino,144,0,14,0,4,126,12,4244.0,9.72
UAE,140,0,0,0,31,109,2,14.0,0.0
Panama,137,0,1,0,1,135,7,32.0,0.73
Slovakia,137,13,0,0,0,137,2,25.0,0.0
Armenia,136,14,0,0,1,135,2,46.0,0.0
Taiwan,135,27,2,1,28,105,0,6.0,1.48
Serbia,135,32,1,1,2,132,4,15.0,0.74
Bulgaria,129,22,3,0,1,125,0,19.0,2.33
Argentina,128,0,3,0,3,122,0,3.0,2.34
Croatia,128,18,1,0,5,122,0,31.0,0.78
Latvia,111,25,0,0,1,110,0,59.0,0.0
Uruguay,94,15,0,0,0,94,0,27.0,0.0
